vatn_lnr;year;Ca;lnCa;lnTOC;sdep_pred;TOC;ndvi.summer;q.summer;tm.summer;SO4;ndvi.summer_lag1;ndvi.summer_lag2;ndvi.summer_lag3;ndvi.summer_lag4;ndvi.summer_lag5;q.summer_lag1;q.summer_lag2;q.summer_lag3;q.summer_lag4;q.summer_lag5;sdep_pred_lag1;sdep_pred_lag2;sdep_pred_lag3;sdep_pred_lag4;sdep_pred_lag5
69;1990;0.6;-0.510825624;-0.634878272;987.0315278;0.53;0.705888887;14.67899044;8.134299582;1.7;0.635055552;0.747111115;0.646666659;0.783722222;0.600333331;10.92675358;23.37862545;14.47670759;10.63170251;15.79342712;967.6404006;964.1764469;950.0725019;934.5867054;898.4093728
69;1991;0.68;-0.385662481;-0.46203546;908.2964897;0.63;0.665299998;11.42819624;7.937803166;1.8;0.705888887;0.635055552;0.747111115;0.646666659;0.783722222;14.67899044;10.92675358;23.37862545;14.47670759;10.63170251;987.0315278;967.6404006;964.1764469;950.0725019;934.5867054
69;1992;0.71;-0.342490309;-0.328504067;843.0566393;0.72;0.736277766;9.728645161;7.827425329;1.7;0.665299998;0.705888887;0.635055552;0.747111115;0.646666659;11.42819624;14.67899044;10.92675358;23.37862545;14.47670759;908.2964897;987.0315278;967.6404006;964.1764469;950.0725019
69;1993;0.78;-0.248461359;0;762.3128254;1;0.628455561;10.38714875;6.27782497;1.6;0.736277766;0.665299998;0.705888887;0.635055552;0.747111115;9.728645161;11.42819624;14.67899044;10.92675358;23.37862545;843.0566393;908.2964897;987.0315278;967.6404006;964.1764469
69;1994;0.61;-0.494296322;-0.223143551;672.8912019;0.8;0.681555558;13.25199253;8.36534767;1.6;0.628455561;0.736277766;0.665299998;0.705888887;0.635055552;10.38714875;9.728645161;11.42819624;14.67899044;10.92675358;762.3128254;843.0566393;908.2964897;987.0315278;967.6404006
69;1995;0.61;-0.494296322;-0.301105093;572.8902952;0.74;0.751166662;16.49488112;8.644364994;1.5;0.681555558;0.628455561;0.736277766;0.665299998;0.705888887;13.25199253;10.38714875;9.728645161;11.42819624;14.67899044;672.8912019;762.3128254;843.0566393;908.2964897;987.0315278
69;1996;0.6;-0.510825624;-0.446287103;552.897148;0.64;0.772499998;6.276816308;7.849666965;1.4;0.751166662;0.681555558;0.628455561;0.736277766;0.665299998;16.49488112;13.25199253;10.38714875;9.728645161;11.42819624;572.8902952;672.8912019;762.3128254;843.0566393;908.2964897
69;1997;0.64;-0.446287103;-0.210721031;343.5573497;0.81;0.751944443;12.33729002;10.04156541;1.4;0.772499998;0.751166662;0.681555558;0.628455561;0.736277766;6.276816308;16.49488112;13.25199253;10.38714875;9.728645161;552.897148;572.8902952;672.8912019;762.3128254;843.0566393
69;1998;0.62;-0.478035801;-0.274436846;338.3435069;0.76;0.672499996;16.86007826;6.958909797;1.3;0.751944443;0.772499998;0.751166662;0.681555558;0.628455561;12.33729002;6.276816308;16.49488112;13.25199253;10.38714875;343.5573497;552.897148;572.8902952;672.8912019;762.3128254
69;1999;0.58;-0.544727175;-0.314710745;383.8660872;0.73;0.74566666;15.7048175;8.184466547;1.2;0.672499996;0.751944443;0.772499998;0.751166662;0.681555558;16.86007826;12.33729002;6.276816308;16.49488112;13.25199253;338.3435069;343.5573497;552.897148;572.8902952;672.8912019
