"vatn_lnr" "year" "lnTOC" "sdep_pred" "TOC" "ndvi.summer" "q.summer" "tm.summer" "SO4" "ndvi.summer_lag1" "ndvi.summer_lag2" "ndvi.summer_lag3" "ndvi.summer_lag4" "ndvi.summer_lag5" "q.summer_lag1" "q.summer_lag2" "q.summer_lag3" "q.summer_lag4" "q.summer_lag5" "Cl"
"1" 69 1957 NA NA NA NA 14.8855436081242 7.82784468339307 NA NA NA NA NA NA NA NA NA NA NA NA
"2" 69 1958 NA NA NA NA 12.274144265233 7.39482228195938 NA NA NA NA NA NA 14.8855436081242 NA NA NA NA NA
"3" 69 1959 NA NA NA NA 7.2929847670251 8.30275567502987 NA NA NA NA NA NA 12.274144265233 14.8855436081242 NA NA NA NA
"4" 69 1960 NA NA NA NA 21.2554979091995 7.58254689366786 NA NA NA NA NA NA 7.2929847670251 12.274144265233 14.8855436081242 NA NA NA
"5" 69 1961 NA NA NA NA 14.2929922341697 6.55587246117085 NA NA NA NA NA NA 21.2554979091995 7.2929847670251 12.274144265233 14.8855436081242 NA NA
"6" 69 1962 NA NA NA NA 18.5997948028674 4.9581848864994 NA NA NA NA NA NA 14.2929922341697 21.2554979091995 7.2929847670251 12.274144265233 14.8855436081242 NA
"7" 69 1963 NA NA NA NA 13.9127738948626 8.22385215053763 NA NA NA NA NA NA 18.5997948028674 14.2929922341697 21.2554979091995 7.2929847670251 12.274144265233 NA
"8" 69 1964 NA NA NA NA 10.6022153524492 5.90005973715651 NA NA NA NA NA NA 13.9127738948626 18.5997948028674 14.2929922341697 21.2554979091995 7.2929847670251 NA
"9" 69 1965 NA NA NA NA 16.9416863799283 5.93624074074074 NA NA NA NA NA NA 10.6022153524492 13.9127738948626 18.5997948028674 14.2929922341697 21.2554979091995 NA
"10" 69 1966 NA NA NA NA 13.3598046594982 7.73750657108722 NA NA NA NA NA NA 16.9416863799283 10.6022153524492 13.9127738948626 18.5997948028674 14.2929922341697 NA
"11" 69 1967 NA NA NA NA 16.3846135005974 6.81183004778972 NA NA NA NA NA NA 13.3598046594982 16.9416863799283 10.6022153524492 13.9127738948626 18.5997948028674 NA
"12" 69 1968 NA NA NA NA 14.9081126045401 8.30898237753883 NA NA NA NA NA NA 16.3846135005974 13.3598046594982 16.9416863799283 10.6022153524492 13.9127738948626 NA
"13" 69 1969 NA NA NA NA 13.7191308243727 8.79251821983274 NA NA NA NA NA NA 14.9081126045401 16.3846135005974 13.3598046594982 16.9416863799283 10.6022153524492 NA
"14" 69 1970 NA NA NA NA 12.2771589008363 8.22753554360812 NA NA NA NA NA NA 13.7191308243727 14.9081126045401 16.3846135005974 13.3598046594982 16.9416863799283 NA
"15" 69 1971 NA NA NA NA 15.3795128434887 6.95316965352449 NA NA NA NA NA NA 12.2771589008363 13.7191308243727 14.9081126045401 16.3846135005974 13.3598046594982 NA
"16" 69 1972 NA NA NA NA 17.3035014934289 7.84512096774193 NA NA NA NA NA NA 15.3795128434887 12.2771589008363 13.7191308243727 14.9081126045401 16.3846135005974 NA
"17" 69 1973 NA NA NA NA 9.67654510155315 8.03592323775389 NA NA NA NA NA NA 17.3035014934289 15.3795128434887 12.2771589008363 13.7191308243727 14.9081126045401 NA
"18" 69 1974 NA NA NA NA 10.5646866786141 6.31543070489844 NA NA NA NA NA NA 9.67654510155315 17.3035014934289 15.3795128434887 12.2771589008363 13.7191308243727 NA
"19" 69 1975 NA NA NA NA 11.4362093787336 8.91630167264039 NA NA NA NA NA NA 10.5646866786141 9.67654510155315 17.3035014934289 15.3795128434887 12.2771589008363 NA
"20" 69 1976 NA NA NA NA 5.17692652329749 8.87789277180407 NA NA NA NA NA NA 11.4362093787336 10.5646866786141 9.67654510155315 17.3035014934289 15.3795128434887 NA
"21" 69 1977 NA NA NA NA 16.0797007168459 8.10194026284349 NA NA NA NA NA NA 5.17692652329749 11.4362093787336 10.5646866786141 9.67654510155315 17.3035014934289 NA
"22" 69 1978 NA NA NA NA 17.704490442055 7.91454420549582 NA NA NA NA NA NA 16.0797007168459 5.17692652329749 11.4362093787336 10.5646866786141 9.67654510155315 NA
"23" 69 1979 NA NA NA NA 15.3315113500597 7.59540621266428 NA NA NA NA NA NA 17.704490442055 16.0797007168459 5.17692652329749 11.4362093787336 10.5646866786141 NA
"24" 69 1980 NA 1074.579615 NA NA 10.8158195937874 8.50539336917563 NA NA NA NA NA NA 15.3315113500597 17.704490442055 16.0797007168459 5.17692652329749 11.4362093787336 NA
"25" 69 1981 NA 1025.15790748308 NA NA 8.65068279569891 7.18954928315412 NA NA NA NA NA NA 10.8158195937874 15.3315113500597 17.704490442055 16.0797007168459 5.17692652329749 NA
"26" 69 1982 NA 986.905187317088 NA 0.756944454378552 11.9712144563919 8.18555854241338 NA NA NA NA NA NA 8.65068279569891 10.8158195937874 15.3315113500597 17.704490442055 16.0797007168459 NA
"27" 69 1983 NA 955.50623846474 NA 0.760444442431132 14.742075567503 8.28180973715651 NA 0.756944454378552 NA NA NA NA 11.9712144563919 8.65068279569891 10.8158195937874 15.3315113500597 17.704490442055 NA
"28" 69 1984 NA 934.387946582855 NA 0.73788888586892 10.1407368578256 8.58615232974911 NA 0.760444442431132 0.756944454378552 NA NA NA 14.742075567503 11.9712144563919 8.65068279569891 10.8158195937874 15.3315113500597 NA
"29" 69 1985 NA 898.4093728 NA 0.600333331359757 15.793427120669 7.55056869772999 NA 0.73788888586892 0.760444442431132 0.756944454378552 NA NA 10.1407368578256 14.742075567503 11.9712144563919 8.65068279569891 10.8158195937874 NA
